experiment,total,passed,failed,success_rate,F1_Syntax_Errors,F2_Environment_Issues,F3_Type_Related,F4_Verus_Spec,F5_Verification_Logic,F6_Other
p2_fewshotplusLTM_deepseek-v3.2,3810,194,3616,5.09%,398 (11.0%),371 (10.3%),2351 (65.0%),123 (3.4%),84 (2.3%),289 (8.0%)
p2_fewshotplusLTM_gpt-4o-mini,3810,49,3761,1.29%,1224 (32.5%),1445 (38.4%),268 (7.1%),145 (3.9%),28 (0.7%),651 (17.3%)
p2_fewshotplusLTM_gpt-5.2,3810,2,3808,0.05%,1233 (32.4%),2222 (58.4%),29 (0.8%),32 (0.8%),0 (0.0%),292 (7.7%)
p2_zeroshot_claude-sonnet-4-5-20250929,3810,0,3810,0.00%,3174 (83.3%),578 (15.2%),30 (0.8%),8 (0.2%),0 (0.0%),20 (0.5%)
p2_zeroshot_deepseek-v3.2,3810,0,3810,0.00%,788 (20.7%),1521 (39.9%),1385 (36.4%),12 (0.3%),1 (0.0%),103 (2.7%)
p2_zeroshot_gpt-4o-mini,3810,0,3810,0.00%,1348 (35.4%),1342 (35.2%),47 (1.2%),9 (0.2%),0 (0.0%),1064 (27.9%)
p2_zeroshot_gpt-5.2,3810,0,3810,0.00%,1148 (30.1%),2483 (65.2%),3 (0.1%),20 (0.5%),0 (0.0%),156 (4.1%)
p2_zeroshot_o4-mini,3810,0,3810,0.00%,1862 (48.9%),1664 (43.7%),240 (6.3%),3 (0.1%),0 (0.0%),41 (1.1%)
p3_fewshot_claude-sonnet-4-5-20250929,3810,165,3645,4.33%,1596 (43.8%),773 (21.2%),275 (7.5%),178 (4.9%),46 (1.3%),777 (21.3%)
p3_fewshot_deepseek-v3.2,3810,120,3690,3.15%,388 (10.5%),351 (9.5%),2513 (68.1%),156 (4.2%),70 (1.9%),212 (5.7%)
p3_fewshot_gpt-4o-mini,3810,101,3709,2.65%,1387 (37.4%),1284 (34.6%),156 (4.2%),377 (10.2%),35 (0.9%),470 (12.7%)
p3_fewshot_gpt-5.2,3810,758,3052,19.90%,996 (32.6%),393 (12.9%),196 (6.4%),636 (20.8%),248 (8.1%),583 (19.1%)
p3_fewshot_o4-mini,3810,137,3673,3.60%,2039 (55.5%),816 (22.2%),251 (6.8%),107 (2.9%),16 (0.4%),444 (12.1%)
p3_fewshotplusCOT_claude-sonnet-4-5-20250929,3810,188,3622,4.93%,1780 (49.1%),692 (19.1%),272 (7.5%),162 (4.5%),62 (1.7%),654 (18.1%)
p3_fewshotplusCOT_deepseek-v3.2,3810,156,3654,4.09%,451 (12.3%),323 (8.8%),2387 (65.3%),163 (4.5%),89 (2.4%),241 (6.6%)
p3_fewshotplusCOT_gpt-4o-mini,3810,92,3718,2.41%,1362 (36.6%),1254 (33.7%),172 (4.6%),350 (9.4%),43 (1.2%),537 (14.4%)
p3_fewshotplusCOT_gpt-5.2,3810,821,2989,21.55%,1010 (33.8%),177 (5.9%),249 (8.3%),631 (21.1%),275 (9.2%),647 (21.6%)
p3_fewshotplusLTM_claude-sonnet-4-5-20250929,3810,127,3683,3.33%,2037 (55.3%),572 (15.5%),248 (6.7%),123 (3.3%),32 (0.9%),671 (18.2%)
p3_fewshotplusLTM_deepseek-v3.2,3810,230,3580,6.04%,501 (14.0%),342 (9.6%),2207 (61.6%),207 (5.8%),95 (2.7%),228 (6.4%)
p3_fewshotplusLTM_gpt-4o-mini,3810,101,3709,2.65%,1387 (37.4%),1153 (31.1%),185 (5.0%),423 (11.4%),28 (0.8%),533 (14.4%)
p3_fewshotplusLTM_gpt-5.2,3810,661,3149,17.35%,1114 (35.4%),102 (3.2%),244 (7.7%),662 (21.0%),244 (7.7%),783 (24.9%)
p3_zeroshot_claude-sonnet-4-5-20250929,3810,0,3810,0.00%,2540 (66.7%),1225 (32.2%),14 (0.4%),6 (0.2%),0 (0.0%),25 (0.7%)
p3_zeroshot_deepseek-v3.2,3810,1,3809,0.03%,788 (20.7%),1005 (26.4%),1781 (46.8%),98 (2.6%),0 (0.0%),137 (3.6%)
p3_zeroshot_gpt-4o-mini,3810,0,3810,0.00%,3572 (93.8%),210 (5.5%),0 (0.0%),0 (0.0%),0 (0.0%),28 (0.7%)
p3_zeroshot_gpt-5.2,3810,0,3810,0.00%,831 (21.8%),2367 (62.1%),3 (0.1%),355 (9.3%),0 (0.0%),254 (6.7%)
p3_zeroshot_o4-mini,3810,0,3810,0.00%,2412 (63.3%),1257 (33.0%),54 (1.4%),3 (0.1%),0 (0.0%),84 (2.2%)
